,Island,P.locat,NP,GP,BFj,BUj,lon,lat,site,LCC,,site2
674,Kiritimati,patch,2.569363557,2.513305525,0.001176817,0,-157.47374,1.96364,17,147,,-157.47374
698,Kiritimati,patch,0.797870502,0.742669872,0.0010768,0.000957419,-157.46872,1.94856,21,50,,-157.46872
697,Kiritimati,patch,1.252426853,1.201412044,0.003058763,0.003161276,-157.46872,1.94856,21,132,,-157.46872
699,Kiritimati,patch,2.26403978,2.2146218,0.003345224,0.004471644,-157.46872,1.94856,21,139,,-157.46872
700,Kiritimati,patch,2.739081971,2.684127905,0.001581549,0.000699233,-157.46872,1.94856,21,145,,-157.46872
701,Kiritimati,patch,2.870404566,2.817236153,0.000533991,0.003532444,-157.46872,1.94856,21,149,,-157.46872
702,Kiritimati,patch,3.100454183,3.047257181,0.002642961,0.001394886,-157.46872,1.94856,21,180,,-157.46872
636,Kiritimati,outer,1.4881333,1.439426056,0.004416342,0.004111262,-157.45894,1.80264,10,71,,-157.45894
631,Kiritimati,outer,1.551600953,1.524026898,0.021504781,0.008156012,-157.45894,1.80264,10,68,,-157.45894
632,Kiritimati,outer,1.952363749,1.912678796,0.005682095,0.011867801,-157.45894,1.80264,10,94,,-157.45894
635,Kiritimati,outer,3.33635614,3.28488482,0,0.005763529,-157.45894,1.80264,10,157,,-157.45894
634,Kiritimati,outer,3.723252692,3.681876503,0.008200382,0.007658278,-157.45894,1.80264,10,150,,-157.45894
633,Kiritimati,outer,3.990069598,3.942679155,0.005917936,0.00392647,-157.45894,1.80264,10,142,,-157.45894
605,Kiritimati,outer,0.735562709,0.735538712,0.054287258,0.002923592,-157.43874,2.04602,5,44,,-157.43874
603,Kiritimati,outer,1.375711801,1.321845784,0.000762402,0.002606428,-157.43874,2.04602,5,52,,-157.43874
604,Kiritimati,outer,1.709313972,1.659954167,0.004874444,0.003000598,-157.43874,2.04602,5,112,,-157.43874
601,Kiritimati,outer,2.285399963,2.242667178,0.014418843,8.32E-05,-157.43874,2.04602,5,123,,-157.43874
606,Kiritimati,outer,3.584617102,3.550076941,0.005686218,0.01700847,-157.43874,2.04602,5,78,,-157.43874
602,Kiritimati,outer,3.707508761,3.654650018,0.002464798,0.001911307,-157.43874,2.04602,5,201,,-157.43874
628,Kiritimati,outer,0.786263892,0.751674983,0.004743239,0.0179027,-157.42845,2.04341,9,82,,-157.42845
629,Kiritimati,outer,0.908200955,0.882259242,0.014471062,0.016822073,-157.42845,2.04341,9,74,,-157.42845
630,Kiritimati,outer,1.956428923,1.929972623,0.016968303,0.013810245,-157.42845,2.04341,9,157,,-157.42845
625,Kiritimati,outer,3.033368442,3.005118606,0.017950133,0.011034879,-157.42845,2.04341,9,175,,-157.42845
626,Kiritimati,outer,3.372052209,3.355112233,0.022302895,0.017991977,-157.42845,2.04341,9,231,,-157.42845
627,Kiritimati,outer,5.841855966,5.811610885,0.004035871,0.022953897,-157.42845,2.04341,9,311,,-157.42845
646,Kiritimati,outer,1.6809156,1.635276081,0,0.01159533,-157.41284,2.02462,12,98,,-157.41284
645,Kiritimati,outer,2.157301092,2.138509824,0.034065313,0.004378267,-157.41284,2.02462,12,120,,-157.41284
648,Kiritimati,outer,2.94902166,2.896423606,0.00224423,0.002392565,-157.41284,2.02462,12,136,,-157.41284
643,Kiritimati,outer,3.941924935,3.888946791,0,0.004256704,-157.41284,2.02462,12,212,,-157.41284
647,Kiritimati,outer,4.605624032,4.562036195,0.000754548,0.012892464,-157.41284,2.02462,12,221,,-157.41284
644,Kiritimati,outer,8.948879811,8.926529055,0.018758221,0.016125872,-157.41284,2.02462,12,290,,-157.41284
613,Kiritimati,outer,0.674757511,0.622406992,0.003089667,0.001794662,-157.39256,1.7749,7,42,,-157.39256
616,Kiritimati,outer,0.713589154,0.668233377,0.010072987,0.001806085,-157.39256,1.7749,7,38,,-157.39256
614,Kiritimati,outer,0.71361838,0.689558225,0.025307116,0.007867577,-157.39256,1.7749,7,44,,-157.39256
615,Kiritimati,outer,1.19161344,1.147828467,0.00399572,0.009454156,-157.39256,1.7749,7,80,,-157.39256
618,Kiritimati,outer,1.795590531,1.752421421,0.009824038,0.004241701,-157.39256,1.7749,7,110,,-157.39256
617,Kiritimati,outer,2.840839563,2.798552085,0.008591785,0.006355584,-157.39256,1.7749,7,163,,-157.39256
607,Kiritimati,outer,1.487698142,1.440014401,0.005991673,0.003559434,-157.37352,1.99869,6,83,,-157.37352
610,Kiritimati,outer,1.910852548,1.872389642,0.001702873,0.017069069,-157.37352,1.99869,6,111,,-157.37352
611,Kiritimati,outer,2.232104988,2.203974194,0.002327629,0.026776425,-157.37352,1.99869,6,119,,-157.37352
608,Kiritimati,outer,2.645369473,2.597013212,0.006102211,0.002776377,-157.37352,1.99869,6,115,,-157.37352
612,Kiritimati,outer,3.804669737,3.759299744,0.000193193,0.011671662,-157.37352,1.99869,6,201,,-157.37352
609,Kiritimati,outer,4.974598766,4.938967026,0.004237752,0.017365357,-157.37352,1.99869,6,238,,-157.37352
595,Kiritimati,outer,3.095911988,3.052105462,0.011517015,0.001911307,-157.31609,1.94363,4,112,,-157.31609
600,Kiritimati,outer,3.754693708,3.71299783,0.012418405,0.003120566,-157.31609,1.94363,4,147,,-157.31609
598,Kiritimati,outer,4.745951701,4.707967203,0.013464668,0.005785682,-157.31609,1.94363,4,140,,-157.31609
596,Kiritimati,outer,4.75828297,4.707295713,0.003641163,0.002606428,-157.31609,1.94363,4,118,,-157.31609
597,Kiritimati,outer,8.161175192,8.116534801,0.010683151,0.001911307,-157.31609,1.94363,4,226,,-157.31609
599,Kiritimati,outer,15.56860054,15.527865,0.015843356,0.000655957,-157.31609,1.94363,4,441,,-157.31609
25,Palau,outer,13.10701538,13.11034059,0.059677562,0.000649964,134.22899,7.30995,5,507,,134.22899
28,Palau,outer,13.66526903,13.61285707,0.004590353,0,134.22899,7.30995,5,635,,134.22899
29,Palau,outer,15.58033911,15.52339016,0,5.34E-05,134.22899,7.30995,5,687,,134.22899
30,Palau,outer,17.15830899,17.10268907,0.001382392,0,134.22899,7.30995,5,588,,134.22899
26,Palau,outer,17.70475693,17.74384857,0.096073149,2.08E-05,134.22899,7.30995,5,764,,134.22899
27,Palau,outer,18.06171126,18.11818511,0.113476166,0,134.22899,7.30995,5,686,,134.22899
48,Palau,outer,9.791351605,9.736081626,0.001628233,0.000104102,134.24507,7.27801,8,367,,134.24507
43,Palau,outer,12.5385089,12.48237692,0.000870341,0,134.24507,7.27801,8,562,,134.24507
45,Palau,outer,14.98583623,14.93471262,0.005878709,0,134.24507,7.27801,8,510,,134.24507
46,Palau,outer,17.67190001,17.63997458,0.024566859,0.000510025,134.24507,7.27801,8,575,,134.24507
47,Palau,outer,18.6568835,18.60048826,0.000607076,0,134.24507,7.27801,8,627,,134.24507
